invoiceId,previousInvoiceId,billingAccountId,billingAccountName,billingProfileId,billingProfileName,invoiceSectionId,invoiceSectionName,resellerName,resellerMpnId,costCenter,billingPeriodEndDate,billingPeriodStartDate,servicePeriodEndDate,servicePeriodStartDate,date,serviceFamily,productOrderId,productOrderName,consumedService,meterId,meterName,meterCategory,meterSubCategory,meterRegion,ProductId,ProductName,SubscriptionId,subscriptionName,publisherType,publisherId,publisherName,resourceGroupName,ResourceId,resourceLocation,location,effectivePrice,quantity,unitOfMeasure,chargeType,billingCurrency,pricingCurrency,costInBillingCurrency,costInPricingCurrency,costInUsd,paygCostInBillingCurrency,paygCostInUsd,exchangeRatePricingToBilling,exchangeRateDate,isAzureCreditEligible,serviceInfo1,serviceInfo2,additionalInfo,tags,PayGPrice,frequency,term,reservationId,reservationName,pricingModel,unitPrice,costAllocationRuleName,benefitId,benefitName,provider,BCSLA,processName,Vertical
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/15/2023,Security,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Sql,cb0969aa-aaaa-4d6c-ab4b-7e182fa06aff,Standard Node,Microsoft Defender for Cloud,Microsoft Defender for SQL,,DZH318Z0C16V0010,Microsoft Defender for SQL - Standard,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,azure_update_brieifing,/subscriptions/E7628FE0-6302-4EEC-89C0-1572AC743A64/resourceGroups/azure_update_brieifing/providers/Microsoft.Sql/servers/mysqldatabasesb,eastus,US East,15.0,0.0322581082795698,1/Month,Usage,USD,USD,0.4838716241935484,0.4838716241935484,0.4838716241935484,0.4838716241935484,0.4838716241935484,1,12/1/2023,True,,,"{""ServiceType"":""SQLThreatDetection"",""ResourceCategory"":""SQLThreatDetection""}","{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",15.0,UsageBased,,,,OnDemand,15.0,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/5/2023,Security,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,microsoft.storage,8a752c6d-6098-4f15-8828-3716ba46d524,Standard Transactions,Microsoft Defender for Cloud,Microsoft Defender for Storage,,DZH318Z0BXB90001,Microsoft Defender for Storage - Standard,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,networkdesignms,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourcegroups/networkdesignms/providers/microsoft.storage/storageaccounts/logstoresb,northcentralus,US North Central,0.02,0.8006,10K,Usage,USD,USD,0.016012,0.016012,0.016012,0.016012,0.016012,1,12/1/2023,True,,,"{""StorageService"":""Blob""}","{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.02,UsageBased,,,,OnDemand,0.02,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/12/2023,Storage,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Kusto,b99fcec0-a080-4921-8685-16e3b6318cff,LRS List and Create Container Operations,Storage,Blob Storage,US East,DZH318Z0BNZJ0058,Blob Storage - Hot LRS - US East,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,AutomationRunbookPOCRG,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourceGroups/AutomationRunbookPOCRG/providers/Microsoft.Kusto/Clusters/adecsendlogs,eastus,US East,0.05,0.0004,10K,Usage,USD,USD,2e-05,2e-05,2e-05,2e-05,2e-05,1,12/1/2023,True,,,"{""EmittingService"":""Azure Data Explorer"",""KustoServiceType"":""Engine""}","{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.05,UsageBased,,,,OnDemand,0.05,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/12/2023,Storage,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Kusto,0b248445-aa24-4fe8-a794-a174929327bd,All Other Operations,Storage,Blob Storage,US East,DZH318Z0BNZJ0058,Blob Storage - Hot LRS - US East,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,AutomationRunbookPOCRG,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourceGroups/AutomationRunbookPOCRG/providers/Microsoft.Kusto/Clusters/adecsendlogs,eastus,US East,0.004,0.0008,10K,Usage,USD,USD,3.2e-06,3.2e-06,3.2e-06,3.2e-06,3.2e-06,1,12/1/2023,True,,,"{""EmittingService"":""Azure Data Explorer"",""KustoServiceType"":""Engine""}","{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.004,UsageBased,,,,OnDemand,0.004,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/5/2023,Networking,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,microsoft.network,e29b4409-5330-4d12-8620-e9e80c29e7ab,Standard Network Logs Collected,Network Watcher,Network Watcher,,DZH318Z0BNXK001J,Network Watcher,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,networkwatcherrg,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourcegroups/networkwatcherrg/providers/microsoft.network/networkwatchers/networkwatcher_northcentralus,northcentralus,US North Central,0.5,0.04987527,1 GB,Usage,USD,USD,0.02493763,0.02493763,0.02493763,0.024937635,0.024937635,1,12/1/2023,True,,,"{""TargetResourceID"":""/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourceGroups/MC_POLITESEA-B97CA6D4-RG_POLITESEA-B97CA6D4_NORTHCENTRALUS/providers/Microsoft.Network/networkSecurityGroups/AKS-AGENTPOOL-95495522-NSG""}","{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.5,UsageBased,,,,OnDemand,0.5,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/21/2023,Storage,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Storage,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,LRS Data Stored,Storage,Tables,,DZH318Z0BNZ5006G,Tables - LRS,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,NetworkDesignMS,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourceGroups/NetworkDesignMS/providers/Microsoft.Storage/storageAccounts/logstoresb,northcentralus,US North Central,0.045,0.00036,1 GB/Month,Usage,USD,USD,1.62e-05,1.62e-05,1.62e-05,1.62e-05,1.62e-05,1,12/1/2023,True,,,,"{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.045,UsageBased,,,,OnDemand,0.045,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/15/2023,Storage,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Compute,ac5f153e-9a9e-480c-867d-95550d4ebdd4,S4 LRS Disk,Storage,Standard HDD Managed Disks,US East,DZH318Z0BP0L0066,Standard HDD Managed Disks - S4 LRS - US East,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,MY-PROJECT-DEV-RG,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourceGroups/MY-PROJECT-DEV-RG/providers/Microsoft.Compute/disks/AZVMSVEUS-ed54,eastus,US East,1.536,0.032256,1/Month,Usage,USD,USD,0.049545216,0.049545216,0.049545216,0.049545216,0.049545216,1,12/1/2023,True,,,,"{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",1.536,UsageBased,,,,OnDemand,1.536,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/12/2023,Management and Governance,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,microsoft.operationalinsights,b2bd42fd-efc8-440e-b44a-b0122746b3bc,Pay-as-you-go Data Ingestion,Log Analytics,Log Analytics,US North Central,DZH318Z0BQD20047,Log Analytics - Pay-as-you-go - US North Central,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,jobs-sample,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourcegroups/jobs-sample/providers/microsoft.operationalinsights/workspaces/workspace-jobssamplentbc,northcentralus,US North Central,0.0,6.107e-05,1 GB,Usage,USD,USD,0.0,0.0,0.0,0.000168553,0.000168553,1,12/1/2023,True,,,,"{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",2.76,UsageBased,,,,OnDemand,0.0,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/21/2023,Storage,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Storage,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Batch Write Operations,Storage,Tables,,DZH318Z0BNZ5006G,Tables - LRS,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,tamopstfstates,/subscriptions/e7628fe0-6302-4eec-89c0-1572ac743a64/resourceGroups/tamopstfstates/providers/Microsoft.Storage/storageAccounts/tamopstfsbera,eastus2,US East 2,0.00036,0.0145999999999999,10K,Usage,USD,USD,5.256e-06,5.256e-06,5.256e-06,5.256e-06,5.256e-06,1,12/1/2023,True,,,,"{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.00036,UsageBased,,,,OnDemand,0.00036,,,,Azure,32145.0,process3,vertical3
,,992a88b7-cd5b-53cb-2366-db5e28024d14,Microsoft Shadow IT,J5TQ-WFJU-BG7-PKDK-SGB,Microsoft Shadow IT - MCAPS,X63V-4BLZ-PJA-XRBR-SGB,MCAPS_Regions_India,,,FS,,,1/1/2024,12/1/2023,12/28/2023,Databases,a642140b-cbd9-4a97-c411-0b66365fdb19,Azure plan,Microsoft.Sql,9f0c0662-ab0b-51ef-ad7f-c1eb1347fd61,General Purpose Data Stored - Free,SQL Database,SQL Database Single/Elastic Pool General Purpose - Storage,US East,DZH318Z0BQDW0005,SQL Database Single/Elastic Pool General Purpose - Storage - US East,e7628fe0-6302-4eec-89c0-1572ac743a64,ME-MngEnvMCAP924545-souravbera-2,Microsoft,,Microsoft,azure_update_brieifing,/subscriptions/E7628FE0-6302-4EEC-89C0-1572AC743A64/resourceGroups/azure_update_brieifing/providers/Microsoft.Sql/servers/mysqldatabasesb/databases/AzureSQLdatabasesb,eastus,US East,0.0,6.838709677419356,1 GB/Month,Usage,USD,USD,0.0,0.0,0.0,0.0,0.0,1,12/1/2023,True,,,,"{""BCSLA"":""32145"", ""project_name"": ""Zeo-shark""}",0.0,UsageBased,,,,OnDemand,0.0,,,,Azure,32145.0,process3,vertical3
